rank,Youtuber,subscribers,views,video count,category,started
1,T-Series,"22,20,00,000","1,98,45,90,90,822","17,317",Music,2006
2,YouTube Movies,"15,40,00,000",0,0,Film & Animation,2015
3,Cocomelon ,"14,00,00,000","1,35,48,13,39,848",786,Education,2006
4,SET India,"13,90,00,000","1,25,76,42,52,686","91,271",Shows,2006
5,Music,"11,60,00,000",0,0,,2013
6,PewDiePie,"11,10,00,000","28,46,94,58,228","4,497",Gaming,2010
7,MrBeast,"10,20,00,000","16,83,24,56,681",726,Entertainment,2012
8,✿ Kids Diana Show,"9,97,00,000","79,60,22,88,245","1,009",People & Blogs,2015
9,Like Nastya,"9,92,00,000","81,96,38,45,811",702,People & Blogs,2016
10,Gaming,"9,27,00,000",0,0,,2013
11,WWE,"9,02,00,000","70,54,47,43,313","63,077",Sports,2007
12,Zee Music Company,"8,67,00,000","49,06,77,11,243","6,603",Music,2014
13,Vlad and Niki,"8,51,00,000","66,49,87,62,660",472,Entertainment,2018
14,5-Minute Crafts,"7,71,00,000","23,88,14,57,195","5,581",Howto & Style,2016
15,BLACKPINK,"7,62,00,000","24,70,74,15,704",397,People & Blogs,2016
16,Sports,"7,51,00,000",0,0,,2013
17,Goldmines,"7,41,00,000","18,53,30,88,438","3,968",Film & Animation,2012
18,Sony SAB,"7,06,00,000","82,47,35,81,441","56,295",Shows,2007
19,BANGTANTV,"7,00,00,000","17,47,10,90,750","1,787",Music,2012
20,Justin Bieber,"6,97,00,000","28,56,72,40,999",247,Music,2007
21,HYBE LABELS,"6,78,00,000","24,01,38,49,120",971,Music,2008
22,Canal KondZilla,"6,59,00,000","36,57,67,04,790","2,313",Music,2012
23,Zee TV,"6,30,00,000","17,11,15,76,122","60,802",Entertainment,2005
24,Shemaroo Filmi Gaane,"6,13,00,000","28,57,99,45,247","7,884",Music,2010
25,Pinkfong Baby Shark - Kids' Songs & Stories,"5,94,00,000","32,10,72,90,522","2,374",Education,2011
26,Dude Perfect,"5,81,00,000","14,74,28,60,905",297,Sports,2009
27,ChuChu TV Nursery Rhymes & Kids Songs,"5,77,00,000","39,26,66,52,127",506,Education,2013
28,Movieclips,"5,76,00,000","58,83,98,19,120","39,202",Film & Animation,2006
29,Marshmello,"5,57,00,000","13,44,54,24,556",401,Entertainment,2015
30,Colors TV,"5,51,00,000","52,61,15,04,230","87,427",Shows,2008
31,Wave Music,"5,34,00,000","37,23,08,76,862","18,622",Music,2014
32,EminemMusic,"5,30,00,000","23,71,78,69,724",140,Music,2007
33,Aaj Tak,"5,29,00,000","20,20,49,39,173","1,96,497",News & Politics,2009
34,Tips Official,"5,28,00,000","27,88,30,80,973","3,612",Music,2007
35,T-Series Bhakti Sagar,"5,25,00,000","24,27,85,76,197","23,870",Music,2011
36,Sony Music India,"5,24,00,000","24,85,66,41,898","3,180",Music,2009
37,Ed Sheeran,"5,22,00,000","27,88,17,81,761",253,Music,2006
38,El Reino Infantil,"5,17,00,000","49,89,52,47,456","1,309",Music,2011
39,Ariana Grande,"5,16,00,000","22,15,80,94,076",146,Music,2007
40,LooLoo Kids - Nursery Rhymes and Children's Songs,"4,98,00,000","29,01,39,84,394",553,Music,2014
41,YRF,"4,76,00,000","29,36,67,88,406","3,289",Film & Animation,2006
42,Taylor Swift,"4,71,00,000","25,56,37,95,998",189,Music,2006
43,Billie Eilish,"4,62,00,000","11,99,93,49,578",48,Music,2013
44,JuegaGerman,"4,61,00,000","13,69,80,34,536","1,959",Gaming,2013
45,BillionSurpriseToys - English Kids Songs & Cartoon,"4,57,00,000","8,59,06,57,189",648,Education,2013
46,Infobells - Hindi,"4,56,00,000","25,63,55,91,765",476,Education,2014
47,Badabun,"4,56,00,000","18,56,79,25,780","13,814",Entertainment,2014
48,Fernanfloo,"4,51,00,000","9,96,67,28,650",541,Gaming,2011
49,Felipe Neto,"4,43,00,000","15,47,55,71,879","3,512",Entertainment,2006
50,BRIGHT SIDE,"4,39,00,000","10,05,85,36,263","4,540",Howto & Style,2017
51,whinderssonnunes,"4,39,00,000","4,12,00,78,906",521,Comedy,2013
52,Você Sabia?,"4,33,00,000","7,28,40,75,395","1,315",Entertainment,2013
53,HolaSoyGerman.,"4,33,00,000","4,73,59,59,546",136,Entertainment,2011
54,Katy Perry,"4,32,00,000","23,96,62,78,157",118,Music,2008
55,SonyMusicIndiaVEVO,"4,27,00,000","23,99,14,11,417","3,309",Music,2009
56,Bad Bunny,"4,25,00,000","23,74,88,05,401",123,Music,2014
57,Alan Walker,"4,22,00,000","11,73,12,28,995",318,Music,2012
58,Like Nastya Show,"4,15,00,000","18,74,50,15,002",599,Entertainment,2017
59,Get Movies,"4,13,00,000","28,55,93,41,412","3,963",Entertainment,2006
60,A4,"4,12,00,000","16,71,72,34,472",645,Gaming,2014
61,Speed Records,"4,08,00,000","24,55,81,72,214","10,327",Music,2012
62,ABS-CBN Entertainment,"4,06,00,000","47,54,42,42,811","1,79,522",People & Blogs,2008
63,elrubiusOMG,"4,04,00,000","7,48,31,16,325",705,Gaming,2011
64,Shemaroo,"3,97,00,000","20,48,94,29,972","9,707",Entertainment,2007
65,Rihanna,"3,96,00,000","20,09,21,28,845",79,Entertainment,2005
66,Little Baby Bum - Nursery Rhymes & Kids Songs,"3,95,00,000","37,13,60,69,429","1,989",Education,2011
67,Luisito Comunica,"3,92,00,000","7,69,12,60,396","1,119",Comedy,2012
68,Voot Kids,"3,88,00,000","17,68,54,26,640","3,282",Entertainment,2016
69,Маша и Медведь,"3,87,00,000","32,83,39,07,997","1,198",Film & Animation,2011
70,TheEllenShow,"3,83,00,000","22,33,55,50,787","14,404",Entertainment,2006
71,LUCCAS NETO - LUCCAS TOON,"3,78,00,000","20,45,46,93,770","1,875",People & Blogs,2014
72,Ishtar Music,"3,78,00,000","14,99,92,40,876","4,535",Trailers,2005
73,GR6 EXPLODE,"3,76,00,000","23,91,22,70,526","4,180",Music,2014
74,XXXTENTACION,"3,76,00,000","9,72,52,53,939",126,Music,2015
75,One Direction,"3,74,00,000","12,69,89,61,117",157,Music,2010
76,Shakira,"3,72,00,000","23,71,56,69,906",287,People & Blogs,2005
77,Kimberly Loaiza,"3,72,00,000","4,25,41,48,920",206,People & Blogs,2016
78,WorkpointOfficial,"3,70,00,000","33,77,36,58,170","62,039",Entertainment,2012
79,Daddy Yankee,"3,68,00,000","20,47,98,31,396",423,Music,2011
80,Toys and Colors,"3,65,00,000","40,93,25,80,174",821,Entertainment,2016
81,CarryMinati,"3,63,00,000","2,94,82,37,121",178,Comedy,2014
82,News,"3,62,00,000",0,0,,2013
83,Maroon 5,"3,60,00,000","20,83,86,66,788",163,Music,2006
84,shfa,"3,59,00,000","19,08,33,55,034",847,People & Blogs,2015
85,TEDx Talks,"3,59,00,000","6,66,03,97,688","1,85,006",Nonprofits & Activism,2009
86,shfa2 - شفا,"3,58,00,000","20,81,65,32,667","1,351",People & Blogs,2017
87,Jkk Entertainment,"3,57,00,000","15,13,34,42,317",194,Comedy,2017
88,Super Simple Songs - Kids Songs,"3,53,00,000","37,44,08,73,935",600,Education,2006
89,Bruno Mars,"3,53,00,000","17,39,58,25,825",97,Music,2006
90,Ozuna,"3,52,00,000","21,04,84,40,606",137,Music,2016
91,Masha and The Bear,"3,51,00,000","19,42,66,54,260",935,Shows,2014
92,one31,"3,44,00,000","26,96,91,65,355","1,28,901",Entertainment,2013
93,Goldmines Gaane Sune Ansune,"3,43,00,000","14,21,24,34,275","3,171",Music,2015
94,Like Nastya ESP,"3,36,00,000","15,93,49,57,738",630,Entertainment,2017
95,J Balvin,"3,36,00,000","21,48,95,32,517",134,Music,2011
96,Mikecrack,"3,35,00,000","13,77,56,32,479","1,727",Gaming,2015
97,VEGETTA777,"3,34,00,000","14,94,86,82,643","7,130",Gaming,2008
98,Ultra Bollywood,"3,34,00,000","15,50,82,74,562","9,078",Trailers,2009
99,Markiplier,"3,33,00,000","18,70,18,08,550","5,200",Gaming,2012
100,YouTube,"3,33,00,000","2,72,52,86,912",540,News & Politics,1970
101,ABP NEWS,"3,32,00,000","10,42,14,62,788","2,24,455",People & Blogs,2012
102,Total Gaming,"3,32,00,000","5,93,54,40,954","1,894",Gaming,2018
103,Maria Clara & JP,"3,31,00,000","20,22,45,35,670",627,People & Blogs,2015
104,Desi Music Factory,"3,30,00,000","9,48,19,87,642",125,Music,2014
105,Ryan's World,"3,29,00,000","51,72,17,34,476","2,198",Entertainment,2015
106,Geet MP3,"3,28,00,000","11,57,53,67,431",563,Music,2016
107,Sony PAL,"3,27,00,000","23,51,94,52,138","19,383",Shows,2014
108,NoCopyrightSounds,"3,27,00,000","10,43,68,81,173","1,116",Music,2011
109,SSSniperWolf,"3,25,00,000","20,58,39,22,757","3,095",Gaming,2013
110,T-Series Apna Punjab,"3,23,00,000","18,93,34,92,606","6,524",Music,2011
111,ARY Digital HD,"3,22,00,000","25,30,43,11,207","71,075",Entertainment,2016
112,KHANDESHI MOVIES,"3,21,00,000","10,67,67,27,914",191,Comedy,2013
113,IndiaTV,"3,19,00,000","13,41,70,41,251","2,37,971",News & Politics,2006
114,HAR PAL GEO,"3,19,00,000","26,00,34,63,646","61,818",Entertainment,2008
115,JustinBieberVEVO,"3,18,00,000","25,30,49,09,929",205,Music,2009
116,Ch3Thailand,"3,16,00,000","20,33,57,20,484","76,039",Entertainment,2014
117,La Granja de Zenón,"3,15,00,000","22,80,88,79,757",558,Music,2013
118,GENIAL,"3,14,00,000","6,36,24,16,164","5,453",Howto & Style,2017
119,Eros Now Music,"3,10,00,000","16,58,26,48,732","9,807",Entertainment,2007
120,Luis Fonsi,"3,09,00,000","14,48,08,46,921",121,Entertainment,2014
121,Selena Gomez,"3,09,00,000","11,58,31,01,067",182,Film & Animation,2008
122,Galinha Pintadinha,"3,08,00,000","22,85,87,82,418",62,Film & Animation,2006
123,SMTOWN,"3,08,00,000","25,20,30,04,950","3,951",Music,2006
124,Mr Bean,"3,07,00,000","9,93,66,30,200","2,661",Shows,2006
125,Bollywood Classics,"3,06,00,000","19,24,44,30,138","2,008",Music,2012
126,CVS 3D Rhymes & Kids Songs,"3,05,00,000","18,63,66,99,832",338,Education,2008
127,Ricis Official,"3,05,00,000","5,13,44,50,983","2,003",People & Blogs,2016
128,Trap Nation,"3,04,00,000","13,34,86,94,779","2,472",Music,2012
129,Rajshri,"3,03,00,000","13,28,75,06,122","3,739",Music,2006
130,DisneyMusicVEVO,"3,01,00,000","24,69,33,46,235","1,771",Music,2010
131,Dream,"3,00,00,000","2,67,30,17,855",110,Gaming,2014
132,The Tonight Show Starring Jimmy Fallon,"2,99,00,000","16,00,62,40,303","7,897",Comedy,2006
133,AH,"2,99,00,000","4,08,24,64,979","1,809",Entertainment,2014
134,Saregama Music,"2,97,00,000","12,14,78,94,890","5,718",Entertainment,2013
135,Spinnin' Records,"2,96,00,000","20,07,53,86,002","10,826",Music,2007
136,rezendeevil,"2,96,00,000","12,59,93,47,383","11,571",Gaming,2012
137,Shawn Mendes,"2,95,00,000","11,74,24,31,673",132,Music,2011
138,Popular on YouTube,"2,94,00,000",0,0,,2013
139,Boram Tube Vlog [보람튜브 브이로그],"2,94,00,000","13,10,91,87,449",223,Entertainment,2012
140,BabyBus - Kids Songs and Cartoons,"2,92,00,000","23,79,06,06,514","1,825",Education,2016
141,AuronPlay,"2,92,00,000","3,93,59,38,048",404,Comedy,2006
142,The Weeknd,"2,91,00,000","19,28,08,16,380",123,Music,2011
143,Maluma,"2,87,00,000","19,63,85,29,002",20,Music,2018
144,Adele,"2,87,00,000","12,65,03,00,730",14,Music,2008
145,jacksepticeye,"2,86,00,000","15,48,56,08,801","4,988",Gaming,2007
146,ImagineDragons,"2,86,00,000","14,30,72,39,074",67,Music,2009
147,Worldwide Records Bhojpuri,"2,86,00,000","14,50,14,68,946","5,927",Music,2012
148,Ultra Music,"2,86,00,000","16,20,13,84,834","4,665",Music,2006
149,Jingle Toons,"2,86,00,000","9,72,80,73,444",228,Film & Animation,2013
150,ashish chanchlani vines,"2,86,00,000","4,05,45,89,048",147,Comedy,2009
151,PowerKids TV,"2,84,00,000","14,32,28,75,759","2,509",Film & Animation,2014
152,MrBeast Gaming,"2,84,00,000","4,94,30,59,589",132,Gaming,2020
153,Peppa Pig - Official Channel,"2,82,00,000","21,00,83,28,965","2,020",Film & Animation,2013
154,قناة طيور الجنة | toyoraljanahtv,"2,81,00,000","25,74,33,23,512","3,131",Entertainment,2008
155,DONA 도나,"2,81,00,000","18,42,11,72,559",160,Entertainment,2018
156,Techno Gamerz,"2,81,00,000","7,19,31,72,591",839,Gaming,2017
157,Wow Kidz,"2,80,00,000","14,96,74,41,549","3,718",Film & Animation,2015
158,Talking Tom,"2,80,00,000","13,90,84,82,957",447,Comedy,2010
159,The Late Late Show with James Corden,"2,79,00,000","9,99,62,99,350","5,422",Entertainment,2006
160,Little Angel: Nursery Rhymes & Kids Songs,"2,77,00,000","20,21,71,78,677","1,146",Education,2015
161,GMANetwork,"2,76,00,000","26,29,07,31,375","1,14,067",Entertainment,2006
162,KAROL G,"2,74,00,000","14,04,04,59,862",121,Music,2013
163,TheDonato,"2,72,00,000","5,09,41,42,687","2,491",Entertainment,2015
164,Vlad và Nikita,"2,71,00,000","17,11,73,16,552",405,,2018
165,Round2hell,"2,71,00,000","2,86,24,22,681",67,Comedy,2016
166,infobells - Tamil,"2,69,00,000","16,49,27,04,526",460,Education,2014
167,Drake,"2,68,00,000","12,94,79,66,180",53,Music,2009
168,MR. INDIAN HACKER,"2,68,00,000","4,59,28,41,527",812,Science & Technology,2012
169,Zee News,"2,67,00,000","12,17,58,51,183","1,44,314",News & Politics,2007
170,ToypuddingTV,"2,66,00,000","15,57,09,02,183","2,579",Entertainment,2014
171,Genevieve's Playhouse - Learning Videos for Kids,"2,65,00,000","18,57,94,74,197",578,Education,2016
172,Bounce Patrol - Kids Songs,"2,64,00,000","18,89,10,28,184",205,Music,2013
173,Wiz Khalifa,"2,64,00,000","12,52,89,40,373",598,Music,2008
174,infobells - Telugu,"2,63,00,000","13,42,69,11,345",421,Education,2014
175,enchufetv,"2,63,00,000","10,02,21,94,205",994,Comedy,2011
176,AboFlah,"2,63,00,000","3,58,92,76,436",553,Gaming,2016
177,DanTDM,"2,62,00,000","18,80,96,15,646","3,603",Gaming,2012
178,Aditya Music,"2,61,00,000","22,66,18,22,099","19,992",Music,2008
179,Lucas and Marcus,"2,61,00,000","7,94,27,66,503",968,Entertainment,2011
180,WORLDSTARHIPHOP,"2,59,00,000","19,42,63,57,466","6,259",Music,2008
181,व्लाद और निकिता,"2,59,00,000","15,75,06,23,413",427,,2018
182,Michael Jackson,"2,58,00,000","12,58,82,88,710",7,Music,2005
183,TaylorSwiftVEVO,"2,58,00,000","23,27,65,97,783",239,Music,2009
184,toycantando,"2,58,00,000","13,94,82,16,340",496,Music,2009
185,VanossGaming,"2,57,00,000","14,90,75,79,962","1,581",Gaming,2011
186,LosPolinesios,"2,56,00,000","7,08,64,13,849",725,People & Blogs,2012
187,1MILLION Dance Studio,"2,55,00,000","7,40,94,42,051","4,251",Entertainment,2015
188,BB Ki Vines,"2,55,00,000","4,37,17,51,617",185,Entertainment,2015
189,Renato Garcia,"2,54,00,000","6,90,13,20,769","3,648",Entertainment,2011
190,JYP Entertainment,"2,52,00,000","17,15,29,81,455","1,502",Music,2008
191,RihannaVEVO,"2,52,00,000","18,08,96,77,017",106,Music,2009
192,Nick Jr.,"2,51,00,000","20,69,16,84,541","4,712",Film & Animation,2012
193,Smosh,"2,50,00,000","10,18,40,35,967","1,366",Comedy,2005
194,EminemVEVO,"2,49,00,000","18,78,67,48,261",98,Music,2009
195,Marília Mendonça,"2,49,00,000","16,47,73,33,283",114,Music,2013
196,Beyoncé,"2,49,00,000","15,71,73,79,166",234,Music,2005
197,Yuya,"2,49,00,000","2,58,34,10,213",672,Howto & Style,2009
198,KatyPerryVEVO,"2,48,00,000","22,67,94,85,513",171,Music,2009
199,Jess No Limit,"2,47,00,000","3,06,01,87,306","1,914",Entertainment,2017
200,WatchMojo.com,"2,46,00,000","15,65,05,28,115","22,492",Music,2007
201,Las Ratitas,"2,46,00,000","9,21,74,27,023",217,People & Blogs,2015
202,Nicki Minaj,"2,45,00,000","9,38,64,90,086",31,Music,2013
203,Super JoJo - Nursery Rhymes & Kids Songs,"2,44,00,000","83,17,18,833",61,,2019
204,Goldmines Dishoom,"2,44,00,000","7,14,36,95,444","2,844",Film & Animation,2016
205,David Guetta,"2,43,00,000","15,95,99,28,823",633,Music,2009
206,Masha y el Oso,"2,43,00,000","11,00,62,09,206",840,Film & Animation,2016
207,Aditya Movies,"2,43,00,000","7,90,81,71,009","4,274",Movies,2012
208,Netflix,"2,43,00,000","5,67,88,34,326","5,650",Entertainment,2012
209,ZHC,"2,43,00,000","2,22,49,16,696",298,Film & Animation,2013
210,Post Malone,"2,42,00,000","12,49,23,13,399",51,Music,2011
211,1theK (원더케이),"2,42,00,000","22,60,52,83,252","16,928",Music,2011
212,Amit Bhadana,"2,41,00,000","2,24,26,31,303",93,Entertainment,2012
213,Rans Entertainment,"2,40,00,000","5,68,82,77,632","3,060",People & Blogs,2015
214,Chloe Ting,"2,40,00,000","2,73,58,28,023",367,Howto & Style,2011
215,Sandeep Maheshwari,"2,40,00,000","1,82,11,64,544",513,People & Blogs,2012
216,Raffy Tulfo in Action,"2,39,00,000","12,79,71,89,774","8,755",News & Politics,2016
217,KSI,"2,39,00,000","5,89,81,02,699","1,242",Entertainment,2009
218,Collins Key,"2,39,00,000","6,36,83,98,946",251,Entertainment,2011
219,James Charles,"2,39,00,000","3,68,76,00,020",406,Entertainment,2015
220,Ninja,"2,39,00,000","2,44,70,87,199","1,418",Gaming,2011
221,Coldplay,"2,35,00,000","15,07,81,70,011",347,Music,2010
222,Logan Paul,"2,35,00,000","5,88,91,89,870",712,Entertainment,2015
223,DJ Snake,"2,34,00,000","7,64,57,34,689",209,Music,2008
224,Chris Brown,"2,34,00,000","13,63,09,44,140",21,Music,2006
225,Happy Lives,"2,34,00,000","10,08,97,84,164",596,Science & Technology,2016
226,TRANS7 OFFICIAL,"2,33,00,000","12,45,46,76,964","78,951",Entertainment,2014
227,Troom Troom,"2,32,00,000","9,79,75,81,328","1,992",Howto & Style,2015
228,ABPLIVE,"2,32,00,000","6,80,55,51,423","1,46,479",People & Blogs,2017
229,Mister Max,"2,31,00,000","14,76,24,69,807","1,046",People & Blogs,2014
230,NickyJamTV,"2,31,00,000","15,05,07,18,616",328,Music,2012
231,Shemaroo Movies,"2,30,00,000","5,59,05,54,837","2,155",Entertainment,2011
232,Sesame Street,"2,29,00,000","21,07,81,77,585","3,425",Entertainment,2006
233,Enrique Iglesias,"2,29,00,000","16,53,90,33,540",405,Music,2007
234,netd müzik,"2,28,00,000","50,65,89,27,334","20,482",Music,2014
235,Jelly,"2,28,00,000","14,23,99,94,409","5,667",Gaming,2014
236,Erlania e Valentina Pontes,"2,27,00,000","7,55,66,15,404","1,117",Film & Animation,2014
237,DrossRotzank,"2,25,00,000","5,74,30,37,460","1,508",Entertainment,2006
238,Anuel AA,"2,24,00,000","11,62,76,13,226",92,Music,2016
239,Goldmines Bollywood,"2,24,00,000","7,12,21,22,133","2,409",Film & Animation,2015
240,Miss Katy,"2,23,00,000","13,42,43,54,473",990,People & Blogs,2014
241,The Chainsmokers,"2,23,00,000","13,33,78,15,978",237,Music,2012
242,Crazy XYZ,"2,23,00,000","5,86,91,32,761","1,085",Entertainment,2017
243,Frost Diamond,"2,23,00,000","5,35,75,78,673","2,191",Gaming,2014
244,Mark Rober,"2,23,00,000","2,93,58,11,566",107,Science & Technology,2011
245,The Lallantop,"2,22,00,000","8,15,53,35,430","39,370",News & Politics,2015
246,Technical Guruji,"2,22,00,000","3,06,52,04,553","4,609",Science & Technology,2015
247,GMM GRAMMY OFFICIAL,"2,21,00,000","24,12,85,28,075","13,755",Music,2010
248,HUM TV,"2,21,00,000","16,65,61,48,835","59,428",Entertainment,2011
249,Like Nastya AE,"2,21,00,000","11,17,92,66,145",576,Entertainment,2018
250,WB Kids,"2,21,00,000","9,34,07,94,746","1,722",People & Blogs,2015
251,Venus Movies,"2,21,00,000","6,29,37,90,011","2,456",Entertainment,2010
